Guideline ID,Domain ,Scorer 1,Scorer 2,Issuing Organisation
1,1,5,5,1
1,1,5,6,1
1,1,4,4,1
1,2,5,5,1
1,2,1,1,1
1,2,4,3,1
1,3,3,5,1
1,3,2,2,1
1,3,1,1,1
1,3,2,3,1
1,3,1,2,1
1,3,4,2,1
1,3,1,1,1
1,3,3,4,1
1,4,5,6,1
1,4,6,6,1
1,4,6,5,1
1,5,1,2,1
1,5,6,6,1
1,5,1,1,1
1,5,6,6,1
1,6,1,1,1
1,6,1,1,1
,,,,
2,1,7,6,2
2,1,6,6,2
2,1,2,2,2
2,2,6,5,2
2,2,1,1,2
2,2,2,2,2
2,3,4,2,2
2,3,1,2,2
2,3,2,2,2
2,3,4,3,2
2,3,6,5,2
2,3,5,6,2
2,3,2,3,2
2,3,2,1,2
2,4,5,6,2
2,4,6,6,2
2,4,4,5,2
2,5,2,1,2
2,5,4,5,2
2,5,3,4,2
2,5,5,5,2
2,6,1,1,2
2,6,1,1,2
,,,,
4,1,6,6,2
4,1,6,6,2
4,1,6,5,2
4,2,5,6,2
4,2,1,1,2
4,2,3,4,2
4,3,3,4,2
4,3,3,5,2
4,3,2,1,2
4,3,5,5,2
4,3,7,7,2
4,3,6,7,2
4,3,3,5,2
4,3,5,5,2
4,4,5,6,2
4,4,6,6,2
4,4,5,5,2
4,5,2,1,2
4,5,7,6,2
4,5,7,7,2
4,5,5,4,2
4,6,1,1,2
4,6,2,1,2
,,,,
5,1,7,7,2
5,1,5,6,2
5,1,2,4,2
5,2,5,5,2
5,2,1,1,2
5,2,6,5,2
5,3,4,3,2
5,3,2,1,2
5,3,2,4,2
5,3,3,4,2
5,3,4,4,2
5,3,6,5,2
5,3,6,7,2
5,3,7,6,2
5,4,5,6,2
5,4,5,6,2
5,4,6,6,2
5,5,4,4,2
5,5,5,6,2
5,5,6,5,2
5,5,3,1,2
5,6,1,1,2
5,6,1,1,2
,,,,
6,1,7,7,1
6,1,6,6,1
6,1,7,6,1
6,2,5,6,1
6,2,1,1,1
6,2,7,6,1
6,3,1,2,1
6,3,1,1,1
6,3,1,1,1
6,3,1,1,1
6,3,7,6,1
6,3,7,7,1
6,3,1,1,1
6,3,5,6,1
6,4,7,7,1
6,4,6,6,1
6,4,7,6,1
6,5,5,7,1
6,5,6,6,1
6,5,7,7,1
6,5,6,5,1
6,6,1,1,1
6,6,1,1,1
,,,,
7,1,6,6,2
7,1,6,6,2
7,1,1,3,2
7,2,6,5,2
7,2,1,1,2
7,2,7,6,2
7,3,5,5,2
7,3,1,3,2
7,3,1,1,2
7,3,1,1,2
7,3,7,6,2
7,3,4,4,2
7,3,3,3,2
7,3,5,6,2
7,4,6,7,2
7,4,7,7,2
7,4,7,6,2
7,5,1,1,2
7,5,6,6,2
7,5,1,1,2
7,5,3,1,2
7,6,1,2,2
7,6,7,7,2
,,,,
8,1,6,6,2
8,1,7,6,2
8,1,4,4,2
8,2,4,6,2
8,2,1,1,2
8,2,2,5,2
8,3,1,2,2
8,3,1,1,2
8,3,1,1,2
8,3,5,4,2
8,3,7,7,2
8,3,6,7,2
8,3,1,1,2
8,3,1,1,2
8,4,6,6,2
8,4,7,7,2
8,4,6,7,2
8,5,1,1,2
8,5,5,6,2
8,5,1,1,2
8,5,6,5,2
8,6,1,1,2
8,6,7,7,2
,,,,
9,1,7,7,1
9,1,7,7,1
9,1,6,5,1
9,2,6,7,1
9,2,1,1,1
9,2,5,7,1
9,3,7,7,1
9,3,7,7,1
9,3,7,7,1
9,3,7,7,1
9,3,7,7,1
9,3,5,7,1
9,3,6,7,1
9,3,7,7,1
9,4,7,7,1
9,4,5,7,1
9,4,7,7,1
9,5,6,4,1
9,5,5,5,1
9,5,6,5,1
9,5,5,5,1
9,6,2,3,1
9,6,7,7,1
,,,,
13,1,7,7,2
13,1,5,6,2
13,1,5,3,2
13,2,3,1,2
13,2,1,1,2
13,2,3,4,2
13,3,1,1,2
13,3,1,1,2
13,3,1,1,2
13,3,1,1,2
13,3,5,5,2
13,3,5,5,2
13,3,3,1,2
13,3,6,5,2
13,4,5,5,2
13,4,6,5,2
13,4,6,5,2
13,5,2,3,2
13,5,3,3,2
13,5,1,3,2
13,5,1,2,2
13,6,1,1,2
13,6,1,1,2
,,,,
16,1,7,7,2
16,1,7,7,2
16,1,7,6,2
16,2,6,6,2
16,2,3,1,2
16,2,5,7,2
16,3,4,6,2
16,3,3,2,2
16,3,1,1,2
16,3,5,7,2
16,3,6,7,2
16,3,6,6,2
16,3,6,5,2
16,3,3,2,2
16,4,6,5,2
16,4,6,6,2
16,4,7,5,2
16,5,4,5,2
16,5,5,4,2
16,5,5,4,2
16,5,5,5,2
16,6,2,1,2
16,6,7,5,2
,,,,
21,1,6,7,2
21,1,6,6,2
21,1,6,4,2
21,2,4,2,2
21,2,1,1,2
21,2,6,4,2
21,3,1,1,2
21,3,1,1,2
21,3,1,1,2
21,3,1,1,2
21,3,7,6,2
21,3,4,4,2
21,3,1,1,2
21,3,4,6,2
21,4,6,5,2
21,4,7,6,2
21,4,7,6,2
21,5,3,1,2
21,5,5,7,2
21,5,1,1,2
21,5,7,5,2
21,6,1,1,2
21,6,1,1,2
,,,,
24,1,3,1,2
24,1,4,3,2
24,1,3,2,2
24,2,1,1,2
24,2,1,1,2
24,2,2,2,2
24,3,1,1,2
24,3,1,1,2
24,3,1,1,2
24,3,1,1,2
24,3,5,6,2
24,3,1,3,2
24,3,1,1,2
24,3,1,1,2
24,4,4,6,2
24,4,4,3,2
24,4,5,7,2
24,5,3,5,2
24,5,3,4,2
24,5,5,4,2
24,5,4,3,2
24,6,1,1,2
24,6,1,1,2
,,,,
27,1,5,4,2
27,1,5,3,2
27,1,4,3,2
27,2,1,1,2
27,2,1,1,2
27,2,3,1,2
27,3,1,1,2
27,3,1,1,2
27,3,1,1,2
27,3,1,1,2
27,3,5,5,2
27,3,1,1,2
27,3,1,1,2
27,3,1,2,2
27,4,5,3,2
27,4,5,4,2
27,4,6,5,2
27,5,4,6,2
27,5,2,1,2
27,5,6,7,2
